year_month,savi_path,status
2017-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-april.tif,success
2017-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-august.tif,success
2017-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-december.tif,success
2017-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-july.tif,success
2017-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-june.tif,success
2017-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-march.tif,success
2017-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-november.tif,success
2017-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-october.tif,success
2017-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2017-september.tif,success
2018-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-april.tif,success
2018-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-august.tif,success
2018-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-december.tif,success
2018-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-february.tif,success
2018-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-january.tif,success
2018-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-july.tif,success
2018-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-june.tif,success
2018-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-march.tif,success
2018-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-may.tif,success
2018-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-november.tif,success
2018-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-october.tif,success
2018-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2018-september.tif,success
2019-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-april.tif,success
2019-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-august.tif,success
2019-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-december.tif,success
2019-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-january.tif,success
2019-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-july.tif,success
2019-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-june.tif,success
2019-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-march.tif,success
2019-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-may.tif,success
2019-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-november.tif,success
2019-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-october.tif,success
2019-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2019-september.tif,success
2020-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-april.tif,success
2020-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-august.tif,success
2020-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-december.tif,success
2020-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-february.tif,success
2020-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-january.tif,success
2020-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-july.tif,success
2020-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-june.tif,success
2020-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-march.tif,success
2020-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-may.tif,success
2020-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-november.tif,success
2020-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-october.tif,success
2020-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2020-september.tif,success
2021-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-april.tif,success
2021-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-august.tif,success
2021-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-december.tif,success
2021-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-february.tif,success
2021-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-january.tif,success
2021-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-july.tif,success
2021-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-june.tif,success
2021-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-march.tif,success
2021-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-may.tif,success
2021-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-november.tif,success
2021-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-october.tif,success
2021-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2021-september.tif,success
2022-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-april.tif,success
2022-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-august.tif,success
2022-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-december.tif,success
2022-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-february.tif,success
2022-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-january.tif,success
2022-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-july.tif,success
2022-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-june.tif,success
2022-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-march.tif,success
2022-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-may.tif,success
2022-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-november.tif,success
2022-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-october.tif,success
2022-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2022-september.tif,success
2023-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-april.tif,success
2023-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-august.tif,success
2023-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-december.tif,success
2023-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-february.tif,success
2023-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-january.tif,success
2023-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-july.tif,success
2023-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-june.tif,success
2023-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-march.tif,success
2023-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-may.tif,success
2023-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-november.tif,success
2023-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-october.tif,success
2023-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2023-september.tif,success
2024-april,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-april.tif,success
2024-august,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-august.tif,success
2024-december,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-december.tif,success
2024-february,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-february.tif,success
2024-january,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-january.tif,success
2024-july,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-july.tif,success
2024-june,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-june.tif,success
2024-march,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-march.tif,success
2024-may,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-may.tif,success
2024-november,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-november.tif,success
2024-october,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-october.tif,success
2024-september,C:/archeo_monitoring_ml/data/sentinel/raw/5HF737/time_series/RNN/clipped_to_global_extent\savi_by_month\SAVI_2024-september.tif,success
